original_filename,standard_filename,UUID,metadata_url,metadata_steps,,
1648473440-6ff92f5b32926ebfb17725a0ab8e991652470725-informacion-publica-dengue-zika-nacional-ha.csv,Argentina_2021_adm2_weekly_moh_additional_source.csv,9e927b86-c739-11ed-aa9a-1e00d12e8869,https://bancos.salud.gob.ar/bancos/materiales-para-equipos-de-salud/,"dengue>epidemiological bulletins>download rleevant 2019,2020,2021 csv files summarising information in each pdf",,
informacion-publica-dengue-zika-nacional-hasta-20191231_3.csv,Argentina_2019_adm2_weekly_moh_source.csv,9e927b90-c739-11ed-aa9a-1e00d12e8869,https://bancos.salud.gob.ar/bancos/materiales-para-equipos-de-salud/,"dengue>epidemiological bulletins>download rleevant 2019,2020,2021 csv files summarising information in each pdf",,
informacion-publica-dengue-zika-nacional-hasta-20201231_1.csv,Argentina_2020_adm2_weekly_moh_source.csv,9e927b9a-c739-11ed-aa9a-1e00d12e8869,https://bancos.salud.gob.ar/bancos/materiales-para-equipos-de-salud/,"dengue>epidemiological bulletins>download rleevant 2019,2020,2021 csv files summarising information in each pdf",,
informacion-publica-dengue-zika-nacional-hasta-20210731.csv,Argentina_2021_adm2_weekly_moh_source.csv,9e927ba4-c739-11ed-aa9a-1e00d12e8869,https://bancos.salud.gob.ar/bancos/materiales-para-equipos-de-salud/,"dengue>epidemiological bulletins>download rleevant 2019,2020,2021 csv files summarising information in each pdf",,
bolivia_A1_PAHO_2014_to_2022_EW1_weekly_all_dengue_classifications_raw.csv,bolivia_A1_PAHO_2014_to_2022_EW1_weekly_all_dengue_classifications_raw.csv,9e927bb8-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name"".",,
bolivia_A1_PAHO_2014_to_2022_EW2_weekly_all_dengue_classifications_raw.csv,bolivia_A1_PAHO_2014_to_2022_EW2_weekly_all_dengue_classifications_raw.csv,9e927bb9-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name"".",,
bolivia_A1_PAHO_2014_to_2022_EW3_weekly_all_dengue_classifications_raw.csv,bolivia_A1_PAHO_2014_to_2022_EW3_weekly_all_dengue_classifications_raw.csv,9e927bc2-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name"".",,
bolivia_A1_PAHO_2014_to_2022_EW4_weekly_all_dengue_classifications_raw.csv,bolivia_A1_PAHO_2014_to_2022_EW4_weekly_all_dengue_classifications_raw.csv,9e927bc3-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name"".",,
bolivia_A1_PAHO_2014_to_2022_EW5_weekly_all_dengue_classifications_raw.csv,bolivia_A1_PAHO_2014_to_2022_EW5_weekly_all_dengue_classifications_raw.csv,9e927bc4-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name"".",,
bolivia_A1_PAHO_2014_to_2022_EW6_weekly_all_dengue_classifications_raw.csv,bolivia_A1_PAHO_2014_to_2022_EW6_weekly_all_dengue_classifications_raw.csv,9e927bcc-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name"".",,
